id,record_type,priority,category,description,icon_key,value,payments_json,quantity,unit,unit_price,vendor,product_url,price_checked_at,price_notes,quotations_json,selected_quotation_id,provider_id,contract_id,created_at,updated_at
EXP_0020,material,1,Material,Carrinho de mão,wheelbarrow,200.00,"[{""id"":""PAY_001"",""date"":""2027-02-18"",""amount"":200.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0021,material,1,Material,Arame recuzido,construction-wire,50.00,"[{""id"":""PAY_001"",""date"":""2027-02-26"",""amount"":50.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0022,material,1,Material,Caçamba de entulho,debris-dumpster,350.00,"[{""id"":""PAY_001"",""date"":""2027-03-06"",""amount"":350.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0023,material,2,Material,Porcelanato,porcelain-tiles,5750.00,"[{""id"":""PAY_001"",""date"":""2027-03-21"",""amount"":5750.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0024,material,2,Material,Rejunte de porcelanato,grout,400.00,"[{""id"":""PAY_001"",""date"":""2027-03-29"",""amount"":400.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0025,material,2,Material,Argamassa para o porcelanato,mortar,1800.00,"[{""id"":""PAY_001"",""date"":""2027-04-05"",""amount"":1800.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0026,material,2,Material,Portas internas,interior-door,1500.00,"[{""id"":""PAY_001"",""date"":""2027-04-13"",""amount"":1500.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0027,material,2,Material,Porta Balcão (R$2000),sliding-door,0.00,"[{""id"":""PAY_001"",""date"":""2027-04-21"",""amount"":0.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0028,material,2,Material,Vaso,toilet,400.00,"[{""id"":""PAY_001"",""date"":""2027-04-29"",""amount"":400.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0029,material,2,Material,Janela (quartos e escritório),window,1700.00,"[{""id"":""PAY_001"",""date"":""2027-05-07"",""amount"":1700.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0030,material,2,Material,Vitrô Sala,living-room-window,520.00,"[{""id"":""PAY_001"",""date"":""2027-05-15"",""amount"":520.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0031,material,2,Material,Vitrôs banheiros,bathroom-window,400.00,"[{""id"":""PAY_001"",""date"":""2027-05-23"",""amount"":400.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0032,service,2,Mão de obra,Eletricista,electrician-service,3500.00,"[{""id"":""PAY_001"",""date"":""2027-05-31"",""amount"":3500.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0033,material,2,Material,Quadro de distribuição,breaker-panel,700.00,"[{""id"":""PAY_001"",""date"":""2027-06-08"",""amount"":700.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0034,material,2,Material,Conduítes,conduit,2800.00,"[{""id"":""PAY_001"",""date"":""2027-06-16"",""amount"":2800.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0035,material,2,Material,Lâmpadas,light-bulbs,400.00,"[{""id"":""PAY_001"",""date"":""2027-06-24"",""amount"":400.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0036,material,2,Material,Torneiras,faucet,800.00,"[{""id"":""PAY_001"",""date"":""2027-07-02"",""amount"":800.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0037,material,2,Material,Sifões e ralos,drains,250.00,"[{""id"":""PAY_001"",""date"":""2027-07-10"",""amount"":250.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0038,material,2,Material,Tomadas,outlet,900.00,"[{""id"":""PAY_001"",""date"":""2027-07-18"",""amount"":900.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0039,material,2,Material,Pias e bancadas,sink-countertop,3500.00,"[{""id"":""PAY_001"",""date"":""2027-07-26"",""amount"":3500.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0040,material,2,Material,Box de vidro para o banheiro (R$850),shower-enclosure,0.00,"[{""id"":""PAY_001"",""date"":""2027-08-03"",""amount"":0.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0041,material,2,Material,Rodapés para acompanhar o porcelanato (R$1500),baseboards,0.00,"[{""id"":""PAY_001"",""date"":""2027-08-11"",""amount"":0.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0042,material,2,Material,Madeiramento ou estrutura metálica,roof-framing,4500.00,"[{""id"":""PAY_001"",""date"":""2027-08-18"",""amount"":4500.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0043,material,2,Material,Calhas e rufos,gutters,1200.00,"[{""id"":""PAY_001"",""date"":""2027-08-26"",""amount"":1200.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0044,material,2,Material,Caixa de água,water-tank,450.00,"[{""id"":""PAY_001"",""date"":""2027-09-03"",""amount"":450.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0045,material,2,Material,Dispositivos de segurança,security-devices,2000.00,"[{""id"":""PAY_001"",""date"":""2027-09-11"",""amount"":2000.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0046,material,3,Material,Tinta,paint,6000.00,"[{""id"":""PAY_001"",""date"":""2027-09-26"",""amount"":6000.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0047,material,3,Material,"Pregos, parafusos, buchas",fasteners,200.00,"[{""id"":""PAY_001"",""date"":""2027-10-04"",""amount"":200.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0048,material,3,Material,"Silicone, espuma expansiva, selante PU",sealants,300.00,"[{""id"":""PAY_001"",""date"":""2027-10-10"",""amount"":300.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,,,,,,,[],,,,2026-09-15 21:49:56,2026-09-15 21:49:56
EXP_0049,material,1,Material,Lona para proteção da obra,materials-crate,0.00,"[{""id"":""PAY_001"",""date"":""2027-10-06"",""amount"":0.0,""date_status"":""estimated"",""source"":""presumed"",""notes"":""""}]",1,un,,,,2026-09-16 10:58:54,Preço a pesquisar,[],,,,2026-09-16 10:58:54,2026-09-16 10:58:54
